微博id,发布者姓名,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HsPKtvDGq,未来星球2049,男,浙江,67,23,未来星球2049:科幻小说《未来星球2049》出版感言感谢中科院，浙江教育出版社，民盟，当当网，以及关心我爱护我的亲人们，师友们，小说《未来星球2049》终于在2019年五一到来之际上线了。心情真的很激动，很忐忑，不知道读者会怎么评价这本书。出版社和当当网说 中国科幻新高度，这个让我实在惶恐。我本人是学机械工程专业的，科幻小说是业余爱好，只在1998年出版过一本长篇科幻小说《地球母亲的节日》，然后出国多年，回国后，2015年给孩子们写了本科幻《小豆豆小点点奇遇记》。我曾在航天系统工作过，特别希望把航天人，科技人的故事，用科幻影视让大众熟知。所以，为拍摄电影《未来星球2049》，2018年利用节假日，写出了这本小说。有人问我，科研工作这么忙，怎么有时间写科幻。其实，我假期就想放下工作，休息休息，把平时积累的科学猜想，有趣点子诉诸笔端，是个很愉快的过程，要不然脑子不太平。可以说，科幻写作是我的思维体操。再者，确实觉得，科研工作者理应思考未来，为启迪创新尽点义务。这部小说试图在人文方面做些探索。宇宙的高级文明应该是怎样的？人类文明该如何进化，以避免科技高速发展可能导致的灾难？您的答案？这本书憧憬2049的未来世界，更多细节请大家多多品味吧。我在评论电影《流浪地球》时说，我们的时代呼唤昂扬前瞻的文化，这本小说是这种努力的一部分。希望我抛砖引玉，有更多人加入科幻创作中来。说几个花絮吧。这本小说里的歌词全部是真实的歌曲，爱情项链的故事真实发生过；该小说已经催生了多项重要的发明专利授权；盟星公主以我的小公主为原型；我身边的不少朋友希望参演《未来星球2049》，包括老科学家和帅哥靓妹；有人劝我别搞费劲的科研了，我决定十年后再议，我的主业是科技创新。特别感谢我的父母，我的夫人和孩子们给予我的爱。感谢我的母校楚寨中学，许昌高中给予我的语言教育，中国科大对我梦想的培育，老家河南许昌／长葛的山水。这些都出现在小说里，小公主专门到许昌吃冰糖葫芦呢，小说的第一页提到了宁波，因为你可以常常在宁波见到我。谢谢大家关爱。小说应该可以在当当网订购了，书送到手大概在一周之后，他们希望第一批书有我的签名，我尽量做到。心怦怦跳，很期待哦！再次感谢大家的帮助和厚爱。祝大家五一节快乐！文武 于家中 ,无,无,2019/5/5 22:48,HUAWEI Mate 10,5,2,0
HsPKpngCv,琉璃染墨白,女,其他,419,96,琉璃染墨白:昨天用一天的时间看完流浪地球，今天看《山海经》，这本我一天是看不完的。  原图 ,无,无,2019/5/5 22:48,OPPO随光而变R17,0,0,0
HsPJyt2JQ,·廿字尾,男,海外,183,22,·廿字尾:来了。#有种(电影《流浪地球》推广曲)[音乐]#  原图 ,无,无,2019/5/5 22:46,iPhone客户端,0,0,0
HsPJ3sE9Q,游戏电竞王者,男,北京,490,1342667,游戏电竞王者:【《星球大战》&《流浪地球》】五一假期，有多个大学生群组队，装扮成未来战士，像《流浪地球》里的战士一样，呼吁大家重视科技，关注未来  游戏电竞王者的秒拍视频  ,无,无,2019/5/5 22:45,360安全浏览器,877,314,325
HsPHF8cMW,正义的呼声A,男,广东,2171,14172,正义的呼声A:【#复联4破吉尼斯世界纪录#，破中国周末和北美单日票房纪录】据吉尼斯世界纪录官方微博消息，《复仇者联盟4：终局之战》以12.09亿美元的首映周末票房，打破《复仇者联盟3：无限战争》的成绩，获得“首映周末全球票房最高电影”吉尼斯世界纪录称号。该电影还收获了3.3亿美元中国周末最高票房和1.4亿美元北美单日最高票房。看看我们流浪地球广水版！ http://t.cn/EcsR258 ,无,无,2019/5/5 22:42,HUAWEI Mate 9,0,0,0
HsPHkcCjn,燕子放心去飞,女,安徽,309,204,燕子放心去飞:花了六块钱，又看了一遍《流浪地球》，最难过的还是韩子昂爷爷死了的时候，好舍不得爷爷了啊，再次看，还是如此震撼，特效还是如此炫酷。  [组图共9张] 原图 ,无,无,2019/5/5 22:41,OPPO R9s,2,0,0
HsPGFEFHJ,唯爱光洁,女,其他,123,50,唯爱光洁:doki一下 | #流浪地球定下来的第一个演员#据喜天经纪人@勾莉huohuo 透露，作为《流浪地球》主演之一的李光洁，是整个剧组定下来的第一个演员。当时制片人看到一张李光洁在《林海雪原》现场用手机拍的定妆照，然后又把这张照片传给了导演郭帆，出演一事就这么定下来了。除李光洁之外，TF老boys三人组其他两人雷佳 ...全文 http://t.cn/EoyZ9BV ,无,无,2019/5/5 22:39,腾讯视频安卓客户端,0,0,0
HsPGhqH1V,看到我请叫我去写稿QAQ,男,福建,68,35,看到我请叫我去写稿QAQ:同期想看电影——《雪暴》找机会补一下《流浪地球》有时间又有得闲的话可以再看一下《驯龙高手3》（吃个恋爱的小甜饼）预期想看电影——《皮卡丘大侦探》然后，挖两个坑:《高等教育之下为何依旧会有低素质人群》《上大学的第一年你都做了些什么》  ,无,无,2019/5/5 22:38,微博国际版,0,0,0
HsPFRq8Tc,壹个小透明_,女,山东,443,1182,壹个小透明_:#孟美岐终于发vlog了#《犟》一镜到底Dance版本!:http://t.cn/ES6qayd孟美岐首张个人ep#能穿鞋跳舞了*流浪地球%时尚健康秒切^空中软带舞%灿烂~继续努力永不认输.ELLEMEN新青年:加油好好看》舞蹈:犟》第一之所以为第一]个人首封[小时候给爸妈的信[篮球大唱片，蒙牛纯甄好喝鉴定官*星唇妆ep%岐遇>碧瑶，童年照康师傅冰红茶燃战队代言人，横冲直撞20岁^资源*高洁丝100年品牌大使<科颜氏首位美肤体验官;中华魔丽迅白^幸运球.用孟美岐的方式说情话%急出东北话《电子刊新歌MV，挑战孟美岐的biki照;三行情书: ,无,无,2019/5/5 22:37,微博 weibo.com,0,0,0
HsPFNzbiz,白云兜苍狗,女,西藏,91,59,白云兜苍狗:流浪地球的高分和口碑是怎么被刷出来的？？#流浪地球#  ,无,无,2019/5/5 22:37,OPPO随光而变R17,1,0,1
